        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  2.848394E-09  1.481468E-06 -8.534186E-12  4.777192E-07 -2.754172E-12  3.118199E-13  5.065585E-08  1.152011E-14 -6.641736E-20  1.981317E-07 -1.142399E-12  1.316490E-13  2.138473E-08  4.877329E-15 -2.812211E-20  8.599876E-22  1.396932E-16  2.069732E-23 -1.193392E-28  7.821164E-08 -4.509652E-13  4.731947E-14  7.686350E-09  1.746627E-15 -1.007099E-20
  5.842829E-09  3.038892E-06 -3.590939E-11  9.799315E-07 -1.158876E-11  1.312048E-12  1.039089E-07  4.847331E-14 -5.732585E-19  4.064219E-07 -4.806885E-12  5.539408E-13  4.386588E-08  2.052240E-14 -2.427263E-19  7.422687E-21  5.877891E-16  1.786419E-22 -2.112882E-27  1.604333E-07 -1.897531E-12  1.991066E-13  1.576679E-08  7.349306E-15 -8.692431E-20
  8.990791E-09  4.676167E-06 -8.502712E-11  1.507893E-06 -2.744015E-11  3.106699E-12  1.598923E-07  1.147763E-13 -2.088694E-18  6.253913E-07 -1.138186E-11  1.311635E-12  6.749967E-08  4.859345E-14 -8.843845E-19  2.704490E-20  1.391781E-15  6.508899E-22 -1.184607E-26  2.468705E-07 -4.493020E-12  4.714495E-13  2.426152E-08  1.740187E-14 -3.167127E-19
  1.230015E-08  6.397387E-06 -1.591412E-10  2.062923E-06 -5.135842E-11  5.814661E-12  2.187460E-07  2.148213E-13 -5.348261E-18  8.555876E-07 -2.130289E-11  2.454924E-12  9.234518E-08  9.095005E-14 -2.264534E-18  6.925054E-20  2.604931E-15  1.666654E-21 -4.149775E-26  3.377395E-07 -8.409372E-12  8.823897E-13  3.319178E-08  3.257025E-14 -8.109672E-19
  1.577919E-08  8.206856E-06 -2.618973E-10  2.646411E-06 -8.452009E-11  9.569137E-12  2.806172E-07  3.535296E-13 -1.129107E-17  1.097586E-06 -3.505797E-11  4.040047E-12  1.184645E-07  1.496757E-13 -4.780810E-18  1.461994E-19  4.286912E-15  3.518584E-21 -1.123883E-25  4.332674E-07 -1.383923E-11  1.452141E-12  4.257991E-08  5.360057E-14 -1.712087E-18
  1.943660E-08  1.010910E-05 -2.199000E-10  3.259814E-06 -7.096664E-11  8.034651E-12  3.456606E-07  5.364101E-13 -1.110152E-18  1.351992E-06 -2.943615E-11  3.392194E-12  1.459231E-07  2.271028E-13 -4.700550E-19  1.437451E-20  6.504528E-15  6.576200E-21  4.345297E-26  5.336931E-07 -1.162000E-11  1.219279E-12  5.244938E-08  8.132810E-14 -1.683345E-19
  2.328153E-08  1.210887E-05 -4.703361E-10  3.904668E-06 -1.517879E-10  1.718502E-11  4.140388E-07  7.696254E-13 -2.333753E-17  1.619442E-06 -6.295991E-11  7.255439E-12  1.747895E-07  3.258404E-13 -9.881462E-18  3.021798E-19  9.332505E-15  1.130183E-20 -2.877264E-25  6.392678E-07 -2.485360E-11  2.607871E-12  6.282487E-08  1.166872E-13 -3.538715E-18
  2.732359E-08  1.421117E-05 -5.039533E-10  4.582583E-06 -1.626370E-10  1.841332E-11  4.859229E-07  1.060064E-12 -1.744046E-17  1.900605E-06 -6.745997E-11  7.774021E-12  2.051358E-07  4.488049E-13 -7.384555E-18  2.258232E-19  1.285437E-14  1.826954E-20 -1.627594E-25  7.502554E-07 -2.663001E-11  2.794268E-12  7.373232E-08  1.607221E-13 -2.644531E-18
  3.157290E-08  1.642126E-05 -7.362481E-10  5.295257E-06 -2.376037E-10  2.690085E-11  5.614925E-07  1.415420E-12 -4.144284E-17  2.196182E-06 -9.855530E-11  1.135742E-11  2.370381E-07  5.992538E-13 -1.754753E-17  5.366117E-19  1.716343E-14  2.818757E-20 -6.371870E-25  8.669334E-07 -3.890497E-11  4.082272E-12  8.519900E-08  2.145996E-13 -6.284059E-18
  3.604007E-08  1.874467E-05 -9.209009E-10  6.044469E-06 -2.971953E-10  3.364765E-11  6.409367E-07  1.844283E-12 -5.036687E-17  2.506915E-06 -1.232732E-10  1.420588E-11  2.705760E-07  7.808240E-13 -2.132609E-17  6.521620E-19  2.236384E-14  4.192481E-20 -7.576944E-25  9.895937E-07 -4.866244E-11  5.106116E-12  9.725360E-08  2.796220E-13 -7.637226E-18
  4.073628E-08  2.118720E-05 -1.179620E-09  6.832095E-06 -3.806898E-10  4.310067E-11  7.244541E-07  2.356238E-12 -8.092247E-17  2.833579E-06 -1.579058E-10  1.819691E-11  3.058335E-07  9.975728E-13 -3.426380E-17  1.047803E-18  2.857182E-14  6.054222E-20 -1.538280E-24  1.118543E-06 -6.233374E-11  6.540637E-12  1.099262E-07  3.572422E-13 -1.227043E-17
  4.567327E-08  2.375495E-05 -1.473951E-09  7.660103E-06 -4.756768E-10  5.385484E-11  8.122535E-07  2.961969E-12 -1.072926E-16  3.176991E-06 -1.973053E-10  2.273727E-11  3.428987E-07  1.254025E-12 -4.542932E-17  1.389250E-18  3.591694E-14  8.532976E-20 -2.151606E-24  1.254103E-06 -7.788680E-11  8.172609E-12  1.232486E-07  4.490805E-13 -1.626899E-17
  5.086338E-08  2.645436E-05 -1.828069E-09  8.530564E-06 -5.899587E-10  6.679354E-11  9.045545E-07  3.673388E-12 -1.533221E-16  3.538011E-06 -2.447082E-10  2.819993E-11  3.818642E-07  1.555222E-12 -6.491889E-17  1.985251E-18  4.454363E-14  1.178501E-19 -3.558424E-24  1.396614E-06 -9.659922E-11  1.013609E-11  1.372541E-07  5.569426E-13 -2.324853E-17
