        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)        P(4d-)        Q(4d-)         P(4d)         Q(4d)         P(5s)         Q(5s)        P(5p-)        Q(5p-)         P(5p)         Q(5p)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  1.898929E-09  2.291896E-06 -1.142223E-11  7.971121E-07 -3.978447E-12  7.069938E-13  1.346301E-07  1.753651E-14 -8.752892E-20  3.593302E-07 -1.793832E-12  3.331640E-13  6.343070E-08  8.348044E-15 -4.167514E-20  2.345139E-21  4.464818E-16  4.165211E-23 -2.079384E-28  1.653577E-07 -8.255288E-13  1.484194E-13  2.825629E-08  3.708746E-15 -1.851553E-20  9.811727E-22  1.867962E-16  1.739232E-23 -8.682971E-29  6.617987E-08 -3.303981E-13  5.300638E-14  1.009136E-08  1.308062E-15 -6.530409E-21
  3.895219E-09  4.701301E-06 -4.806145E-11  1.635093E-06 -1.674015E-11  2.974825E-12  2.761629E-07  7.378862E-14 -7.554757E-19  7.370837E-07 -7.547926E-12  1.401858E-12  1.301136E-07  3.512618E-14 -3.597046E-19  2.024126E-20  1.878667E-15  3.595060E-22 -3.681516E-27  3.391935E-07 -3.473586E-12  6.245061E-13  5.796132E-08  1.560534E-14 -1.598104E-19  8.468654E-21  7.859847E-16  1.501159E-22 -1.537306E-27  1.357529E-07 -1.390220E-12  2.230355E-13  2.070011E-08  5.503951E-15 -5.636497E-20
  5.993861E-09  7.234238E-06 -1.138011E-10  2.516038E-06 -3.963774E-11  7.043864E-12  4.249522E-07  1.747185E-13 -2.752610E-18  1.134205E-06 -1.787216E-11  3.319353E-12  2.002153E-07  8.317262E-14 -1.310600E-18  7.374995E-20  4.448355E-15  1.309877E-21 -2.064076E-26  5.219420E-07 -8.224842E-12  1.478721E-12  8.918935E-08  3.695070E-14 -5.822766E-19  3.085593E-20  1.861074E-15  5.469542E-22 -8.619049E-27  2.088929E-07 -3.291796E-12  5.281089E-13  3.185279E-08  1.303239E-14 -2.053684E-19
  8.200102E-09  9.897042E-06 -2.129960E-10  3.442150E-06 -7.418808E-11  1.318367E-11  5.813701E-07  3.270123E-13 -7.048270E-18  1.551687E-06 -3.345048E-11  6.212675E-12  2.739113E-07  1.556702E-13 -3.355892E-18  1.888424E-19  8.325775E-15  3.354040E-21 -7.230629E-26  7.140602E-07 -1.539405E-11  2.767651E-12  1.220185E-07  6.915888E-14 -1.490964E-18  7.900897E-20  3.483284E-15  1.400518E-21 -3.019324E-26  2.857830E-07 -6.161098E-12  9.884363E-13  4.357727E-08  2.439210E-14 -5.258614E-19
  1.051946E-08  1.269637E-05 -3.505257E-10  4.415745E-06 -1.220907E-10  2.169624E-11  7.458078E-07  5.381613E-13 -1.488007E-17  1.990574E-06 -5.504916E-11  1.022414E-11  3.513857E-07  2.561852E-13 -7.084848E-18  3.986778E-19  1.370165E-14  7.080938E-21 -1.958271E-25  9.160286E-07 -2.533385E-11  4.554699E-12  1.565308E-07  1.138142E-13 -3.147674E-18  1.668011E-19  5.732409E-15  2.956728E-21 -8.177235E-26  3.666152E-07 -1.013926E-11  1.626661E-12  5.590288E-08  4.014187E-14 -1.110181E-18
  1.295773E-08  1.563922E-05 -2.943162E-10  5.439258E-06 -1.025125E-10  1.821708E-11  9.186763E-07  8.165517E-13 -1.463027E-18  2.451963E-06 -4.622160E-11  8.584624E-12  4.328323E-07  3.887095E-13 -6.965909E-19  3.919849E-20  2.078951E-14  1.323421E-20  7.571309E-26  1.128352E-06 -2.127137E-11  3.824318E-12  1.928126E-07  1.726901E-13 -3.094831E-19  1.640009E-20  8.697780E-15  5.526097E-21  3.161583E-26  4.515919E-07 -8.513355E-12  1.365813E-12  6.886044E-08  6.090723E-14 -1.091544E-19
  1.552102E-08  1.873296E-05 -6.295021E-10  6.515246E-06 -2.192602E-10  3.896385E-11  1.100408E-06  1.171564E-12 -3.075564E-17  2.937008E-06 -9.886168E-11  1.836134E-11  5.184548E-07  5.577089E-13 -1.464368E-17  8.240277E-19  2.982817E-14  2.274425E-20 -5.013388E-25  1.351562E-06 -4.549654E-11  8.179693E-12  2.309546E-07  2.477707E-13 -6.505930E-18  3.447614E-19  1.247932E-14  9.497124E-21 -2.093462E-25  5.409253E-07 -1.820890E-11  2.921288E-12  8.248235E-08  8.738789E-14 -2.294635E-18
  1.821573E-08  2.198532E-05 -6.744957E-10  7.646402E-06 -2.349318E-10  4.174879E-11  1.291457E-06  1.613685E-12 -2.298412E-17  3.446922E-06 -1.059278E-10  1.967371E-11  6.084673E-07  7.681751E-13 -1.094343E-17  6.158074E-19  4.108462E-14  3.676635E-20 -2.835943E-25  1.586215E-06 -4.874841E-11  8.764336E-12  2.710522E-07  3.412735E-13 -4.861973E-18  2.576451E-19  1.718872E-14  1.535222E-20 -1.184217E-25  6.348390E-07 -1.951038E-11  3.130087E-12  9.680267E-08  1.203660E-13 -1.714813E-18
  2.104860E-08  2.540442E-05 -9.854012E-10  8.835554E-06 -3.432225E-10  6.099268E-11  1.492302E-06  2.154627E-12 -5.461595E-17  3.982980E-06 -1.547547E-10  2.874221E-11  7.030947E-07  1.025684E-12 -2.600429E-17  1.463311E-18  5.485706E-14  5.672578E-20 -1.110244E-24  1.832900E-06 -7.121875E-11  1.280421E-11  3.132056E-07  4.556756E-13 -1.155325E-17  6.122283E-19  2.295074E-14  2.368651E-20 -4.636093E-25  7.335678E-07 -2.850360E-11  4.572885E-12  1.118572E-07  1.607153E-13 -4.074819E-18
